Time,Closing,Dividen yield,Growth,conti,annual,Dividen,DividenMonth,warton,,
37653,6555.12,1.96,0.967684802,-0.032848862,-0.394186349,0.019410394,0.001654634,10.8553,0.001654634,0.001617533
37681,6343.29,2.05,1.038273514,0.037559251,0.450711014,0.020292703,0.001731009,10.9898,0.001731009,0.001691059
37712,6586.07,2,1.041561963,0.040721474,0.488657691,0.019802627,0.001656096,10.9162,0.001656096,0.001650219
37742,6859.8,1.91,1.017980116,0.017820386,0.213844627,0.018919885,0.00160622,11.0272,0.00160622,0.001576657
37773,6983.14,1.87,1.039349061,0.038594614,0.463135369,0.018527305,0.001552808,10.8519,0.001552808,0.001543942
37803,7257.92,1.83,1.034775804,0.034184788,0.41021746,0.01813457,0.001523257,11.0641,0.001523257,0.001511214
37834,7510.32,1.77,0.988124341,-0.011946738,-0.143360856,0.017545179,0.001475625,11.0906,0.001475625,0.001462098
37865,7421.13,1.8,1.047374187,0.046286258,0.555435092,0.017839918,0.001499146,11.1337,0.001499146,0.00148666
37895,7772.7,1.72,1.011153139,0.011091401,0.133096811,0.017053755,0.001431257,11.1327,0.001431257,0.001421146
37926,7859.39,1.72,1.045995936,0.04496948,0.539633765,0.017053755,0.001432774,11.2688,0.001432774,0.001421146
37956,8220.89,1.64,1.03655322,0.035900997,0.430811968,0.016266972,0.001366971,11.2454,0.001366971,0.001355581
37987,8521.39,1.62,1.031344652,0.030863438,0.370361253,0.01607018,0.001350346,11.5146,0.001350346,0.001339182
38018,8788.49,1.62,0.976951672,-0.023318094,-0.279817126,0.01607018,0.001350321,11.8753,0.001350321,0.001339182
38047,8585.93,1.67,0.960172049,-0.040642793,-0.487713515,0.016562088,0.001390891,11.9504,0.001390891,0.001380174
38078,8243.97,1.74,1.02102749,0.020809464,0.249713565,0.017250353,0.001449064,11.9547,0.001449064,0.001437529
38108,8417.32,1.74,1.015237629,0.015122702,0.181472429,0.017250353,0.00144807,12.1977,0.00144807,0.001437529
38139,8545.58,1.72,0.989759618,-0.010293175,-0.1235181,0.017053755,0.00143341,12.2581,0.00143341,0.001421146
38169,8458.07,1.75,0.990418618,-0.009627579,-0.115530946,0.017348638,0.001458323,12.3436,0.001458323,0.00144572
38200,8377.03,1.82,1.034768886,0.034178103,0.410137237,0.018036362,0.001516738,12.7154,0.001516738,0.00150303
38231,8668.29,1.74,1.023381774,0.023112608,0.277351299,0.017250353,0.001451009,12.5869,0.001451009,0.001437529
38261,8870.97,1.71,1.01793265,0.017773757,0.213285081,0.016955441,0.001420729,12.6122,0.001420729,0.001412953
38292,9030.05,1.7,1.023986578,0.023703419,0.284441031,0.016857117,0.001412483,12.7638,0.001412483,0.00140476
38322,9246.65,1.67,0.995392926,-0.004617719,-0.05541263,0.016562088,0.001390542,12.8668,0.001390542,0.001380174
38353,9204.05,1.68,1.050441925,0.049210957,0.590531479,0.016660441,0.001398254,12.8786,0.001398254,0.00138837
38384,9668.32,1.67,0.994214093,-0.00580271,-0.069632522,0.016562088,0.001388006,13.429,0.001388006,0.001380174
38412,9612.38,1.68,0.974711778,-0.025613464,-0.307361569,0.016660441,0.001398093,13.4484,0.001398093,0.00138837
